10853910 ;2019-11-08 ;12:47:31 ;67,97 ;50,34 ;874,00 ;48,86 
10853910 ;2019-11-08 ;12:49:31 ;69,86 ;53,84 ;969,00 ;52,41 
10853910 ;2019-11-08 ;12:51:31 ;70,37 ;49,45 ;832,00 ;50,58 
10853910 ;2019-11-08 ;12:53:31 ;70,72 ;47,99 ;719,00 ;50,09
10853910 ;2019-11-08 ;12:55:31 ;70,93 ;47,20 ;679,00 ;49,84 
10853910 ;2019-11-08 ;12:57:31 ;71,02 ;46,65 ;583,00 ;49,61 
10853910 ;2019-11-08 ;12:59:31 ;71,06 ;46,34 ;564,00 ;49,47 
10853910 ;2019-11-08 ;13:01:31 ;71,15 ;46,12 ;573,00 ;49,42 
10853910 ;2019-11-08 ;13:03:31 ;71,32 ;45,87 ;568,00 ;49,43 
10853910 ;2019-11-08 ;13:05:31 ;71,27 ;45,65 ;530,00 ;49,26 
10853910 ;2019-11-08 ;13:07:31 ;71,27 ;45,36 ;507,00 ;49,09 
10853910 ;2019-11-08 ;13:09:31 ;71,40 ;45,12 ;530,00 ;49,06 
10853910 ;2019-11-08 ;13:11:31 ;71,36 ;44,92 ;500,00 ;48,91 
10853910 ;2019-11-08 ;13:13:31 ;71,45 ;44,71 ;495,00 ;48,86 
10853910 ;2019-11-08 ;13:15:31 ;71,40 ;44,61 ;495,00 ;48,76 
10853910 ;2019-11-08 ;13:17:31 ;71,49 ;44,49 ;489,00 ;48,76 
10853910 ;2019-11-08 ;13:19:31 ;71,45 ;44,33 ;482,00 ;48,63 
10853910 ;2019-11-08 ;13:21:31 ;71,45 ;44,25 ;511,00 ;48,58 
10853910 ;2019-11-08 ;13:23:31 ;71,40 ;44,14 ;460,00 ;48,47 
10853910 ;2019-11-08 ;13:25:31 ;71,40 ;44,06 ;456,00 ;48,43 
